row_id,country_name,water_source,water_tech,status_id,management,pay,installer,install_year,status,source,adm1,adm2,wpdx_id,report_date,country_id,activity_id,data_lnk,orig_lnk,photo_lnk,converted,created,updated,lat_deg,lon_deg,location,count,fecal_coliform_presence,fecal_coliform_value,subjective_quality
118,Nicaragua,,New Community Well Project,yes,,,,2011,,El Porvenier,Boaco,Camoapa,wpdx-00000118,01/01/2011 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3917,-85.5405,"(12.3917, -85.5405)",1,,,
119,Nicaragua,,Drilled Well,yes,,,,2008,,El Porvenier,Boaco,Camoapa,wpdx-00000119,01/01/2008 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3688,-85.5402,"(12.3688, -85.5402)",1,,,
120,Nicaragua,,Rehabilitate Well Project,yes,,,,1996,,El Porvenier,Boaco,Camoapa,wpdx-00000120,01/01/1996 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3853,-85.539,"(12.3853, -85.539)",1,,,
121,Nicaragua,,New Community Well Project,yes,,,,2006,,El Porvenier,Boaco,Camoapa,wpdx-00000121,01/01/2006 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4525,-85.5344,"(12.4525, -85.5344)",1,,,
122,Nicaragua,,New Community Well Project,yes,,,,2006,,El Porvenier,Boaco,Camoapa,wpdx-00000122,01/01/2006 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4585,-85.5339,"(12.4585, -85.5339)",1,,,
123,Nicaragua,,New Community Well Project,yes,,,,2007,,El Porvenier,Boaco,Camoapa,wpdx-00000123,01/01/2007 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4548,-85.5337,"(12.4548, -85.5337)",1,,,
124,Nicaragua,,Rehabilitate Well Project,yes,,,,2008,,El Porvenier,Boaco,Camoapa,wpdx-00000124,01/01/2008 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.4336,-85.5322,"(12.4336, -85.5322)",1,,,
125,Nicaragua,,New Community Well Project,yes,,,,2013,,El Porvenier,,Camoapa,wpdx-00000125,01/01/2013 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.377,-85.5323,"(12.377, -85.5323)",1,,,
126,Nicaragua,,New Community Well Project,yes,,,,2006,,El Porvenier,Boaco,Camoapa,wpdx-00000126,01/01/2006 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.453,-85.5315,"(12.453, -85.5315)",1,,,
127,Nicaragua,,Rehabilitate Well Project,yes,,,,2014,,El Porvenier,,Camoapa,wpdx-00000127,01/01/2014 12:00:00 AM +0000,NI,,http://www.dropbox.com/s/0f70mln5roxhy29/ProjToDate%20Watsan%2020150330%20water%20only%20for%20GWC-Raw.xls?dl=0,,,"#data_lnk, #lon_deg, #lat_deg, #country_id",10/23/2015 01:03:07 AM +0000,10/23/2015 01:03:07 AM +0000,12.3873,-85.5318,"(12.3873, -85.5318)",1,,,
